iter	Passed	Remaining
0	135	13397
1	137	6758
2	140	4533
3	142	3417
4	144	2751
5	147	2309
6	149	1989
7	152	1750
8	154	1565
9	156	1412
10	159	1291
11	162	1190
12	164	1103
13	167	1031
14	170	967
15	172	906
16	173	848
17	174	796
18	175	750
19	177	708
20	178	670
21	179	634
22	180	602
23	180	572
24	181	545
25	182	520
26	183	496
27	184	474
28	185	453
29	186	434
30	187	416
31	188	399
32	189	383
33	190	368
34	191	354
35	191	340
36	192	327
37	193	315
38	194	303
39	195	292
40	196	282
41	197	272
42	198	262
43	198	253
44	199	244
45	200	235
46	201	227
47	202	219
48	202	211
49	203	203
50	204	196
51	205	189
52	205	182
53	206	176
54	207	169
55	208	163
56	208	157
57	209	151
58	210	146
59	211	140
60	212	135
61	212	130
62	213	125
63	214	120
64	215	115
65	215	111
66	216	106
67	217	102
68	218	98
69	218	93
70	219	89
71	220	85
72	221	81
73	221	77
74	222	74
75	223	70
76	224	66
77	225	63
78	225	60
79	226	56
80	227	53
81	228	50
82	229	46
83	230	43
84	230	40
85	231	37
86	232	34
87	233	31
88	233	28
89	234	26
90	234	23
91	235	20
92	236	17
93	237	15
94	238	12
95	238	9
96	239	7
97	240	4
98	241	2
99	241	0
