iter	Passed	Remaining
0	145	14418
1	146	7184
2	147	4770
3	148	3562
4	149	2838
5	150	2353
6	151	2008
7	152	1748
8	152	1546
9	153	1384
10	154	1251
11	155	1140
12	156	1047
13	157	967
14	158	897
15	159	836
16	160	782
17	161	734
18	162	691
19	163	652
20	163	616
21	164	584
22	165	554
23	166	527
24	167	502
25	168	479
26	169	457
27	170	437
28	171	419
29	172	402
30	173	386
31	174	370
32	175	356
33	176	342
34	177	328
35	177	315
36	178	304
37	179	292
38	180	281
39	180	271
40	181	261
41	182	251
42	182	242
43	183	233
44	184	225
45	185	218
46	186	210
47	187	202
48	187	195
49	188	188
50	189	181
51	189	175
52	190	169
53	191	162
54	192	157
55	192	151
56	193	145
57	194	140
58	194	135
59	195	130
60	196	125
61	197	120
62	198	116
63	199	112
64	200	107
65	201	103
66	201	99
67	202	95
68	203	91
69	204	87
70	204	83
71	205	79
72	206	76
73	206	72
74	207	69
75	208	65
76	208	62
77	209	59
78	210	55
79	211	52
80	211	49
81	212	46
82	213	43
83	213	40
84	214	37
85	215	35
86	216	32
87	216	29
88	217	26
89	218	24
90	218	21
91	219	19
92	219	16
93	220	14
94	221	11
95	221	9
96	222	6
97	223	4
98	223	2
99	224	0
